region,environmental_conditions,ordnance_type,burial_depth_cm,ordnance_condition,ordnance_age,population_estimate,uxo_count
Aleppo,Semi-arid agricultural land,Air-launched,75,Corroded,11–13,2438480,17.250 – 51.750
Aleppo,Semi-arid agricultural land,Ground-launched,55,Corroded,11–13,2438480,17.250 – 51.750
Aleppo,Semi-arid agricultural land,Cluster,30,Corroded,8–9,2438480,17.250 – 51.750
Aleppo,Semi-arid agricultural land,IEDs,45,Corroded,8–9,2438480,17.250 – 51.750
Hama,Semi-arid agricultural land,Artillery,55,Corroded,10–12,1079000,19.000 – 56.750
Hama,Semi-arid agricultural land,Air-launched,75,Corroded,10–12,1079000,19.000 – 56.750
Hama,Semi-arid agricultural land,Ground-launched,55,Corroded,10–12,1079000,19.000 – 56.750
Idlib Region,Hilly agricultural,Cluster,27,Corroded,5–10,2691361,17.750 – 53.000
Idlib Region,Hilly agricultural,Mortars,49.5,Corroded,5–10,2691361,17.750 – 53.000
Idlib Region,Hilly agricultural,IEDs,40.5,Corroded,5–10,2691361,17.750 – 53.000
Latakia,Coastal forested areas,Ground-launched,49.5,Corroded,10–13,768000,3.000 – 9.250
Latakia,Coastal forested areas,Shelling,49.5,Corroded,10–13,768000,3.000 – 9.250
Deir-ez-Zor,Arid desert river valleys,IEDs,49.5,Corroded,7–10,379000,4.000 – 12.000
Deir-ez-Zor,Arid desert river valleys,Landmines,28,Corroded,7–10,379000,4.000 – 12.000
Deir-ez-Zor,Arid desert river valleys,Air-launched,82.5,Corroded,7–10,379000,4.000 – 12.000
Deir-ez-Zor,Arid desert river valleys,Ground-launched,60.5,Corroded,7–10,379000,4.000 – 12.000
Homs,Semi-arid agricultural plains,Ground-launched,55,Corroded,9–11,1563600,5.250 – 15.500
Homs,Semi-arid agricultural plains,IEDs,45,Corroded,9–11,1563600,5.250 – 15.500
Homs,Semi-arid agricultural plains,Landmines,25,Corroded,9–11,1563600,5.250 – 15.500
Raqqa,Flood-prone near Euphrates River,Cluster,33,Corroded,7–8,531952,1.750 – 5.750
Raqqa,Flood-prone near Euphrates River,Improvised explosives,49.5,Corroded,7–8,531952,1.750 – 5.750
Damascus + Rural,Urban peri-urban,Barrel bombs,67.5,Corroded,9–13,2799960,18.500 – 55.500
Damascus + Rural,Urban peri-urban,Anti-aircraft,49.5,Corroded,9–13,2799960,18.500 – 55.500
Damascus + Rural,Urban peri-urban,Shelling,49.5,Corroded,9–13,2799960,18.500 – 55.500
Damascus + Rural,Urban peri-urban,Air-launched,67.5,Corroded,9–13,2799960,18.500 – 55.500
Hasakeh,Arid agricultural land (saline),IEDs,49.5,Corroded,6–10,422445,1.500 – 4.500
Hasakeh,Arid agricultural land (saline),Small Arms,16,Corroded,6–10,422445,1.500 – 4.500
Hasakeh,Arid agricultural land (saline),Ground-launched,60.5,Corroded,6–10,422445,1.500 – 4.500
Daraa,Semi-arid agricultural activities,Landmines,29,Corroded,7–11,922000,7.750 – 23.500
Daraa,Semi-arid agricultural activities,IEDs,51.5,Corroded,7–11,922000,7.750 – 23.500
Daraa,Semi-arid agricultural activities,Cluster,34.5,Corroded,7–11,922000,7.750 – 23.500
Daraa,Semi-arid agricultural activities,Mortar,63,Corroded,7–11,922000,7.750 – 23.500
Daraa,Semi-arid agricultural activities,UXO,63,Corroded,7–11,922000,7.750 – 23.500
Baghouz,Arid desert low vegetation,Mines,28,Corroded,7,3000,1750
Baghouz,Arid desert low vegetation,IEDs,49.5,Corroded,7,3000,1750
Al-Bab,Semi-arid agricultural land,Mixed UXO,63,Corroded,7–9,172000,UXO hotspot (quantity not stated)
Eastern Ghouta,Urban peri-urban,Cluster,27,Corroded,8–12,400000,High density cluster munition remnants
Ar-Raqqa,Flood-prone near Euphrates River,Landmines,28,Damaged,7–8,531952,Widespread landmine contamination
Inkhil,Dry semi-arid mixed terrain,Cluster,30,Corroded,7–8,29100,Estimated contamination (Baghouz-level)
Inkhil,Dry semi-arid mixed terrain,Landmine,25,Corroded,7–8,29100,Estimated contamination (Baghouz-level)
Inkhil,Dry semi-arid mixed terrain,Mortar,55,Corroded,7–8,29100,Estimated contamination (Baghouz-level)
Quneitra,Hilly moderate rainfall,Artillery,55,Corroded,10–12,105443,1000 – 3000
Quneitra,Hilly moderate rainfall,Ground-launched,55,Corroded,10–12,105443,1000 – 3000
As-Sweida,Mountainous semi-arid climate,Landmines,29,Corroded,11–12,509000,200 – 625
As-Sweida,Mountainous semi-arid climate,Shell remnants,63,Corroded,11–12,509000,200 – 625
Tartous,Humid Mediterranean coastal zone,Limited UXO,55,Corroded,12–13,458327,7 – 25
Tartous,Humid Mediterranean coastal zone,Residual explosives,60.5,Corroded,12–13,458327,7 – 25
